"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14073","should register via Akun menu","","Sat Jul 19 02:18:21 WIB 2025","passed","Sat Jul 19 02:18:35 WIB 2025","","Register from Akun","",""
"","8230","should login via Akun menu","","Sat Jul 19 09:40:22 WIB 2025","passed","Sat Jul 19 09:40:30 WIB 2025","","Login from Bottom Sheet","",""
